	OddRatio	p-value	depth	go_descr	score
0005813	44.45454545454545	0.035888859954655565	3	centrosome	3.3273283393130524
0090136	89.0	0.02405927541425612	4	epithelial cell-cell adhesion	3.7272346846722972
0046930	89.0	0.02405927541425612	3	pore complex	3.7272346846722972
0070097	89.0	0.02405927541425612	3	delta-catenin binding	3.7272346846722972
0044331	89.0	0.02405927541425612	4	cell-cell adhesion mediated by cadherin	3.7272346846722972
0030054	17.727272727272727	0.02405927541425612	2	cell junction	3.7272346846722972
