	OddRatio	p-value	depth	go_descr	score
0043231	40.75	0.03880158243218497	4	intracellular membrane-bounded organelle	3.2492942488499033
0097539	81.58333333333333	0.026024916349963078	2	ciliary transition fiber	3.6487008787047874
0005813	40.75	0.03880158243218497	3	centrosome	3.2492942488499033
0051301	40.75	0.03880158243218497	2	cell division	3.2492942488499033
0005615	81.58333333333333	0.026024916349963078	2	extracellular space	3.6487008787047874
0097711	81.58333333333333	0.026024916349963078	4	ciliary basal body-plasma membrane docking	3.6487008787047874
