	OddRatio	p-value	depth	name	score
0080322	0.6569471019348719	1.8965983410581218e-07	2	polycystic kidney disease	15.478033716183756
1240	1.365224941816189	1.8618077965336348e-08	1	leukemia	17.79913279462868
2962	3.0337731890211304	2.8432728294598423e-06	2	Cockayne syndrome	12.770554764560416
11723	4.701302892178613	1.493458541327001e-05	1	Duchenne muscular dystrophy	11.111830866087592
8469	2.9337304960672714	3.4889955498028905e-07	1	influenza	14.868481764248079
162	0.8663117385190694	3.073896514058982e-05	1	cancer	10.389979485332997
9884	0.6984988537474534	6.713254161904678e-05	1	muscular dystrophy	9.608841659579625
9538	2.6037541669463273	3.15657987138752e-05	1	multiple myeloma	10.363436342682936
0050460	0.6223723989046319	6.38015750121709e-07	1	Wolf-Hirschhorn syndrome	14.26490286719519
