	OddRatio	p-value	depth	name	score
162	2.3299319727891157	0.17251033080677675	1	cancer	-1.0
12858	2.2337662337662336	0.41092567990174517	1	Huntington's disease	-1.0
1240	0.7227272727272728	1.0	1	leukemia	-1.0
0050886	8.045454545454545	0.17776203160608284	1	Troyer syndrome	-1.0
1485	5.333333333333333	0.23024530618442976	2	cystic fibrosis	-1.0
1520	8.045454545454545	0.17776203160608284	1	colon carcinoma	-1.0
0050851	16.181818181818183	0.12201708459631533	1	glomerulosclerosis	-1.0
305	3.977272727272727	0.2796413293170091	2	carcinoma	-1.0
