	OddRatio	p-value	depth	name	score
1793	7.375	0.19060949986225637	2	pancreatic cancer	-1.0
1240	0.6625	1.0	1	leukemia	-1.0
9538	14.833333333333334	0.13116273996510883	1	multiple myeloma	-1.0
2394	14.833333333333334	0.13116273996510883	2	ovarian cancer	-1.0
3717	14.833333333333334	0.13116273996510883	2	gastric adenocarcinoma	-1.0
10283	4.888888888888889	0.24628186230561253	1	prostate cancer	-1.0
1826	14.833333333333334	0.13116273996510883	1	epilepsy	-1.0
305	3.6458333333333335	0.2984006696993732	2	carcinoma	-1.0
1324	7.375	0.19060949986225637	1	lung cancer	-1.0
3459	14.833333333333334	0.13116273996510883	1	breast carcinoma	-1.0
162	0.2718253968253968	0.30403904230992196	1	cancer	-1.0
4074	14.833333333333334	0.13116273996510883	1	pancreatic adenocarcinoma	-1.0
8466	14.833333333333334	0.13116273996510883	2	retinal degeneration	-1.0
