	OddRatio	p-value	depth	name	score
1240	0.5678571428571428	1.0	1	leukemia	-1.0
12858	3.78021978021978	0.14646604860233464	1	Huntington's disease	-1.0
0080322	3.125	0.33419081768487585	2	polycystic kidney disease	-1.0
1289	6.321428571428571	0.21551249265529102	1	neurodegenerative disease	-1.0
3852	12.714285714285714	0.14903050050742433	1	Peutz-Jeghers syndrome	-1.0
9884	2.0595238095238093	0.43593977242898946	1	muscular dystrophy	-1.0
0050460	4.190476190476191	0.27712145920071196	1	Wolf-Hirschhorn syndrome	-1.0
12377	6.321428571428571	0.21551249265529102	1	spinal muscular atrophy	-1.0
10652	4.190476190476191	0.27712145920071196	1	Alzheimer's disease	-1.0
162	0.8154761904761905	1.0	1	cancer	-1.0
8712	12.714285714285714	0.14903050050742433	2	neurofibromatosis	-1.0
14250	12.714285714285714	0.14903050050742433	1	Down syndrome	-1.0
