	OddRatio	p-value	depth	go_descr	score
0043231	42.75	0.037033225807378764	4	intracellular membrane-bounded organelle	3.2959397745
0097711	85.58333333333333	0.02483189241117667	4	ciliary basal body-plasma membrane docking	3.69562646765918
0005615	85.58333333333333	0.02483189241117667	2	extracellular space	3.69562646765918
0005813	42.75	0.037033225807378764	3	centrosome	3.2959397745
0051301	42.75	0.037033225807378764	2	cell division	3.2959397745
0097539	85.58333333333333	0.02483189241117667	2	ciliary transition fiber	3.69562646765918
