	OddRatio	p-value	depth	go_descr	score
0004930	205.4	0.011577329181492482	4	G protein-coupled receptor activity	4.458706474069975
0016021	205.4	0.011577329181492482	3	integral component of membrane	4.458706474069975
0007186	205.4	0.011577329181492482	3	G protein-coupled receptor signaling pathway	4.458706474069975
0005887	102.6	0.01732397261648453	4	integral component of plasma membrane	4.055664036300336
0007166	102.6	0.01732397261648453	3	cell surface receptor signaling pathway	4.055664036300336
