	OddRatio	p-value	depth	go_descr	score
0046930	93.36363636363636	0.02295476419633294	3	pore complex	3.7742297737652994
0044331	93.36363636363636	0.02295476419633294	4	cell-cell adhesion mediated by cadherin	3.7742297737652994
0070097	93.36363636363636	0.02295476419633294	3	delta-catenin binding	3.7742297737652994
0005813	46.63636363636363	0.03425008484147963	3	centrosome	3.374066237153478
0090136	93.36363636363636	0.02295476419633294	4	epithelial cell-cell adhesion	3.7742297737652994
0030054	18.6	0.02295476419633294	2	cell junction	3.7742297737652994
