	OddRatio	p-value	depth	name	score
3459	15.25	0.12793950067333898	1	breast carcinoma	-1.0
1826	15.25	0.12793950067333898	1	epilepsy	-1.0
9538	15.25	0.12793950067333898	1	multiple myeloma	-1.0
2394	15.25	0.12793950067333898	2	ovarian cancer	-1.0
8466	15.25	0.12793950067333898	2	retinal degeneration	-1.0
3717	15.25	0.12793950067333898	2	gastric adenocarcinoma	-1.0
4074	15.25	0.12793950067333898	1	pancreatic adenocarcinoma	-1.0
1793	7.583333333333333	0.18607686729511852	2	pancreatic cancer	-1.0
305	3.75	0.29176818376350433	2	carcinoma	-1.0
10283	5.027777777777778	0.2406181081465012	1	prostate cancer	-1.0
1324	7.583333333333333	0.18607686729511852	1	lung cancer	-1.0
162	0.26515151515151514	0.3049592996111718	1	cancer	-1.0
1240	0.6468253968253969	1.0	1	leukemia	-1.0
